rank,model,mean_accuracy,std_accuracy,total_cost,total_tokens,avg_cost_per_run,avg_tokens_per_run,cost_per_1pct_accuracy,duration_seconds,num_runs
1,google-gemini-3-flash-preview,0.6776,0.0396,0.0304,52716,0.006089,10543.2,0.0449,0:00:56.317216,5
2,qwen-qwen3-235b-a22b-2507,0.5959,0.0271,0.0078,66420,0.001556,13284.0,0.0131,0:16:06.670007,5
3,qwen-qwen3-5-plus-02-15,0.5837,0.0208,0.0259,56557,0.005189,11311.4,0.0445,0:01:09.870817,5
4,z-ai-glm-4-7,0.5347,0.0200,0.0164,53148,0.003269,10582.6,0.0306,0:01:43.421411,5
5,deepseek-deepseek-v3-2,0.5265,0.0396,0.0138,52740,0.002752,10548.0,0.0261,0:02:18.396422,5
6,x-ai-grok-4-1-fast,0.5143,0.0300,0.0075,89328,0.001506,17865.6,0.0146,0:00:49.313937,5
7,openai-gpt-4-1-mini,0.4490,0.0387,0.0239,53413,0.004780,10682.6,0.0532,0:00:44.516851,5
8,minimax-minimax-m2-1,,,,,,,,0:00:06.114048,5
